method,precision,recall,threshold
RandomForest,0.46551724137931033,0.7105263157894737,0.4029333333333332
RandomForest,0.45614035087719296,0.6842105263157895,0.4057520254024155
RandomForest,0.4642857142857143,0.6842105263157895,0.4064095238095239
RandomForest,0.45454545454545453,0.6578947368421053,0.40967655867567154
RandomForest,0.4444444444444444,0.631578947368421,0.41381836223625396
RandomForest,0.4339622641509434,0.6052631578947368,0.4169
RandomForest,0.4230769230769231,0.5789473684210527,0.4187219566906582
RandomForest,0.4117647058823529,0.5526315789473685,0.4210476024996693
RandomForest,0.42,0.5526315789473685,0.4213333333333334
RandomForest,0.42857142857142855,0.5526315789473685,0.4271833333333334
RandomForest,0.4166666666666667,0.5263157894736842,0.4278666666666666
RandomForest,0.425531914893617,0.5263157894736842,0.42923333333333336
RandomForest,0.43478260869565216,0.5263157894736842,0.4293333333333333
RandomForest,0.4444444444444444,0.5263157894736842,0.42993632394032694
RandomForest,0.4318181818181818,0.5,0.43669168273606784
RandomForest,0.4186046511627907,0.47368421052631576,0.4383801484581104
RandomForest,0.40476190476190477,0.4473684210526316,0.44422385086295435
RandomForest,0.3902439024390244,0.42105263157894735,0.44450000000000006
RandomForest,0.375,0.39473684210526316,0.4467681652718895
RandomForest,0.38461538461538464,0.39473684210526316,0.45244520885003575
RandomForest,0.39473684210526316,0.39473684210526316,0.46561250738140747
RandomForest,0.40540540540540543,0.39473684210526316,0.46613333333333334
RandomForest,0.4166666666666667,0.39473684210526316,0.46831709563069823
RandomForest,0.42857142857142855,0.39473684210526316,0.46941542547280046
RandomForest,0.4411764705882353,0.39473684210526316,0.47473333333333323
RandomForest,0.45454545454545453,0.39473684210526316,0.4775413440985163
